סוג_מבנה,סוג_הזמנה,סוג_חיבור,חיבור_קיים,חיבור_מבוקש,גודל_חיבור,התקנת_מונים,גודל_חיבור_ציבורי,מספר_יחידות,עלות_הזמנה,עלות_חפירה,עלות_בדיקת_מתקן,סהכ_לפני_מעמ,מעמ,סהכ_כולל,endpoint
תעשייה ומסחר,הגדלת חיבור קיים,,3X35,3X250,,,,,27816.19,3343.55,545.35,31705.09,5706.92,37412.01,sumIndustriealExtensionOfExsiting
תעשייה ומסחר,הגדלת חיבור קיים,,3X35,3X315,,,,,33465.04,3343.55,545.35,37353.94,6723.71,44077.65,sumIndustriealExtensionOfExsiting
תעשייה ומסחר,הגדלת חיבור קיים,,3X35,3X400,,,,,40871.31,3343.55,545.35,44760.21,8056.84,52817.05,sumIndustriealExtensionOfExsiting
תעשייה ומסחר,הגדלת חיבור קיים,,3X35,3X500,,,,,49532.88,3343.55,545.35,53421.78,9615.92,63037.71,sumIndustriealExtensionOfExsiting
תעשייה ומסחר,הגדלת חיבור קיים,,3X35,3X630,,,,,60830.58,3343.55,545.35,64719.48,11649.51,76368.99,sumIndustriealExtensionOfExsiting
תעשייה ומסחר,הגדלת חיבור קיים,,3X35,3X800,,,,,75517.59,3343.55,545.35,79406.49,14293.17,93699.66,sumIndustriealExtensionOfExsiting
תעשייה ומסחר,הגדלת חיבור קיים,,3X40,3X50,,,,,3849.78,0.00,545.35,4395.13,791.12,5186.25,sumIndustriealExtensionOfExsiting
תעשייה ומסחר,הגדלת חיבור קיים,,3X40,3X63,,,,,5344.59,0.00,545.35,5889.94,1060.19,6950.13,sumIndustriealExtensionOfExsiting
תעשייה ומסחר,הגדלת חיבור קיים,,3X40,3X80,,,,,7287.84,0.00,545.35,7833.19,1409.97,9243.17,sumIndustriealExtensionOfExsiting
תעשייה ומסחר,הגדלת חיבור קיים,,3X40,3X100,,,,,9596.50,0.00,545.35,10141.85,1825.53,11967.38,sumIndustriealExtensionOfExsiting
תעשייה ומסחר,הגדלת חיבור קיים,,3X40,3X125,,,,,12469.85,0.00,545.35,13015.20,2342.74,15357.94,sumIndustriealExtensionOfExsiting
תעשייה ומסחר,הגדלת חיבור קיים,,3X40,3X160,,,,,16489.23,0.00,545.35,17034.58,3066.22,20100.80,sumIndustriealExtensionOfExsiting
תעשייה ומסחר,הגדלת חיבור קיים,,3X40,3X200,,,,,23033.50,3343.55,545.35,26922.40,4846.03,31768.43,sumIndustriealExtensionOfExsiting
תעשייה ומסחר,הגדלת חיבור קיים,,3X40,3X250,,,,,27376.84,3343.55,545.35,31265.74,5627.83,36893.57,sumIndustriealExtensionOfExsiting
תעשייה ומסחר,הגדלת חיבור קיים,,3X40,3X315,,,,,33025.69,3343.55,545.35,36914.59,6644.63,43559.22,sumIndustriealExtensionOfExsiting
תעשייה ומסחר,הגדלת חיבור קיים,,3X40,3X400,,,,,40431.96,3343.55,545.35,44320.86,7977.75,52298.61,sumIndustriealExtensionOfExsiting
תעשייה ומסחר,הגדלת חיבור קיים,,3X40,3X500,,,,,49093.53,3343.55,545.35,52982.43,9536.84,62519.27,sumIndustriealExtensionOfExsiting
תעשייה ומסחר,הגדלת חיבור קיים,,3X40,3X630,,,,,60391.23,3343.55,545.35,64280.13,11570.42,75850.55,sumIndustriealExtensionOfExsiting
